Year,Production
1975Q4,54.1
1976Q1,59.5
1976Q2,56.5
1976Q3,63.9
1976Q4,57.8
1977Q1,62
1977Q2,58.5
1977Q3,65
1977Q4,59.6
1978Q1,63.6
1978Q2,60.4
1978Q3,66.3
1978Q4,60.6
1979Q1,66.8
1979Q2,63.2
1979Q3,71
1979Q4,66.5
1980Q1,72
1980Q2,67.8
1980Q3,75.6
1980Q4,69.2
1981Q1,74.1
1981Q2,70.7
1981Q3,77.8
1981Q4,72.3
1982Q1,78.1
1982Q2,72.4
1982Q3,82.6
1982Q4,72.9
1983Q1,79.5
1983Q2,72.6
1983Q3,82.8
1983Q4,76
1984Q1,85.1
1984Q2,80.5
1984Q3,89.1
1984Q4,84.8
1985Q1,94.2
1985Q2,89.5
1985Q3,99.3
1985Q4,93.1
1986Q1,103.5
1986Q2,96.4
1986Q3,107.2
1986Q4,101.7
1987Q1,109.5
1987Q2,101.3
1987Q3,112.6
1987Q4,105.5
1988Q1,115.4
1988Q2,108
1988Q3,129.9
1988Q4,112.4
1989Q1,123.6
1989Q2,114.9
1989Q3,131
1989Q4,122.6
1990Q1,131.9
1990Q2,120.5
1990Q3,130.7
1990Q4,115.7
1991Q1,119.7
1991Q2,109.7
1991Q3,125.1

